# Time(s)	Magnetic_Field(uT)
2.235587835311889648e+00	6.706450596411163867e-05
2.247261285781860352e+00	-2.084938672832252146e-04
2.258777141571044922e+00	1.125178902677323711e-04
2.271197080612182617e+00	-1.443140663177746642e-04
2.282681226730346680e+00	-1.282753801166171791e-04
2.294274091720581055e+00	8.305307984362160197e-05
2.305884361267089844e+00	-4.001875772881398807e-05
2.317944288253784180e+00	-1.595446438687230298e-05
2.329928636550903320e+00	1.525707574891840195e-04
2.341933965682983398e+00	-1.062911578717263654e-05
2.354008197784423828e+00	1.343517755476782374e-05
2.365566253662109375e+00	-5.613261241243966594e-05
2.377475976943969727e+00	8.296538328074120011e-05
2.389334917068481445e+00	2.696783792488097471e-06
2.401254892349243164e+00	1.203931604435777325e-04
2.413189888000488281e+00	9.095340618029131388e-05
2.425385475158691406e+00	-1.230753123210320159e-04
2.437272548675537109e+00	5.080031431554708841e-05
2.449684381484985352e+00	2.938616719304489345e-05
2.461750030517578125e+00	-7.763445609782348587e-05
2.474071979522705078e+00	-1.344212705196072975e-05
2.485919475555419922e+00	7.482702341625344046e-05
2.521541833877563477e+00	-2.060817545916049885e-04
2.533717393875122070e+00	1.898356696066707172e-04
2.545603275299072266e+00	1.470199034420772760e-04
2.557986259460449219e+00	-3.758158887637063131e-05
2.569964170455932617e+00	1.389692401404699182e-04
2.582841396331787109e+00	-1.098371093042516973e-04
2.594393730163574219e+00	8.276493399415726568e-05
2.605908155441284180e+00	-2.730495106610205574e-04
2.617587089538574219e+00	-1.794299554322835476e-04
2.629131078720092773e+00	-5.370797164040849118e-05
2.640814542770385742e+00	-9.919894018526455662e-05
2.652745962142944336e+00	3.722385312765612465e-05
2.664754152297973633e+00	1.281682059761329428e-04
2.676829576492309570e+00	6.395082076944703226e-05
2.688805580139160156e+00	-1.634539096331833472e-04
2.700887918472290039e+00	1.120794074533291692e-04
2.712619304656982422e+00	7.733986542723422544e-06
2.724996328353881836e+00	8.262712510963057528e-05
2.737193822860717773e+00	1.815970850988916137e-04
2.749062299728393555e+00	1.200549022724670806e-04
2.761038541793823242e+00	-1.983067090590510386e-04
2.773067712783813477e+00	2.056363222800101410e-04
2.784743547439575195e+00	1.387437346930628260e-04
2.796772003173828125e+00	-2.625491504265588466e-04
2.808751344680786133e+00	1.922227261374677854e-04
2.820792436599731445e+00	9.322770998738483597e-05
2.832851648330688477e+00	3.703593192148314572e-05
2.844420909881591797e+00	-8.871110803121384206e-05
2.856310844421386719e+00	-1.529284932378997255e-04
2.868475198745727539e+00	-6.465934276968434574e-05
2.880766391754150391e+00	-1.116782324486842399e-05
2.892691850662231445e+00	1.466565891101434798e-04
2.904489278793334961e+00	-6.737212939117985001e-05
2.917082071304321289e+00	2.161867948361168663e-04
2.929683685302734375e+00	3.426050489793038386e-05
2.941490650177001953e+00	-7.543532077319939659e-05
2.953430652618408203e+00	-1.209262893180542423e-04
2.965099334716796875e+00	1.305302063461056606e-04
2.977119445800781250e+00	1.815917829471566826e-05
2.989494085311889648e+00	-1.289894807000737482e-04
3.001443386077880859e+00	-2.466911595028995155e-05
3.013546705245971680e+00	1.277118929295874762e-05
3.025636911392211914e+00	7.161311357829746314e-05
3.037524938583374023e+00	1.274613313213560504e-05
3.049632787704467773e+00	5.553684313590589858e-05
3.061503648757934570e+00	1.545068031251669303e-04
3.073662042617797852e+00	-1.290771772629541636e-04
3.085376739501953125e+00	8.225128269728583714e-05
3.097436666488647461e+00	4.211071891295258750e-05
3.109280347824096680e+00	-1.103883448423584454e-04
3.143821001052856445e+00	1.999226031875535629e-04
3.155375242233276367e+00	2.694653369939378914e-04
3.166841506958007812e+00	6.613742801366015250e-05
3.178441047668457031e+00	-1.680637385485556930e-05
3.190037965774536133e+00	-5.427173525892620148e-05
3.201582670211791992e+00	3.132221282902656760e-05
3.213233709335327148e+00	-4.627118427896513900e-05
3.225124359130859375e+00	-1.238645813869580314e-04
3.237020254135131836e+00	1.061902952351118009e-04
3.248884916305541992e+00	1.142033742954850454e-04
3.260754585266113281e+00	-1.078509513466237313e-04
3.272523641586303711e+00	1.141783181346619011e-04
3.284191131591796875e+00	5.263613530823740860e-05
3.296660900115966797e+00	2.265117619448177733e-04
3.308856487274169922e+00	2.372000433854511755e-04
3.321491003036499023e+00	-3.033272272110024452e-05
3.333007097244262695e+00	2.048359442345426256e-05
3.345229387283325195e+00	5.792389966670296681e-05
3.357433795928955078e+00	-1.133015807504378976e-04
3.369417905807495117e+00	5.789884350587982254e-05
3.381427526473999023e+00	7.393752970703727377e-05
3.393429517745971680e+00	1.507054926087420103e-05
3.405139684677124023e+00	-1.722061454378350854e-04
3.417356252670288086e+00	2.039589786057386747e-05
3.429318666458129883e+00	3.387324530312700588e-04
3.441127777099609375e+00	-1.722437296790704049e-04
3.452902317047119141e+00	5.513594456273801617e-05
