# Time(s)	Magnetic_Field(uT)
2.972953796386718750e+00	3.782780937121066214e-06
2.985059022903442383e+00	-5.471147316178753727e-06
2.997183799743652344e+00	-8.443247910517334319e-07
3.009299516677856445e+00	-8.444191920662919425e-07
3.021354436874389648e+00	-3.785984900222295359e-05
3.033657073974609375e+00	4.079764434118616969e-05
3.045616865158081055e+00	8.409131457173190879e-06
3.057644844055175781e+00	2.228978783458547525e-05
3.069858789443969727e+00	-3.786022660628328489e-05
3.081859827041625977e+00	-3.323340408115626321e-05
3.093624353408813477e+00	2.228950463153969315e-05
3.105476140975952148e+00	8.408659452097241434e-06
3.117231607437133789e+00	3.154314968179478343e-05
3.150259494781494141e+00	6.855839068992022455e-05
3.162354469299316406e+00	-1.472620838166169234e-05
3.174378871917724609e+00	-1.009938585653467236e-05
3.186121702194213867e+00	8.408187447021291989e-06
3.197962045669555664e+00	5.930417923357462378e-05
3.209549188613891602e+00	4.542333405413112005e-05
3.221088409423828125e+00	3.154248887468867342e-05
3.233062982559204102e+00	1.766164369524516630e-05
3.245220899581909180e+00	5.004996777722797268e-05
3.257218360900878906e+00	-6.099613285120973909e-05
3.268466472625732422e+00	-1.935397491694165983e-05
3.280058622360229492e+00	5.930351842646850699e-05
3.291777133941650391e+00	2.691500554245448125e-05
3.303709030151367188e+00	-2.398117504613007329e-05
3.315483570098876953e+00	-6.099660485628568684e-05
3.327603101730346680e+00	-2.860828077430287029e-05
3.339358091354370117e+00	-1.472762439689058930e-05
3.351221561431884766e+00	-8.875838961618723333e-05
3.363670587539672852e+00	-3.786239782963391170e-05
3.375364780426025391e+00	1.303359395692046702e-05
3.386866092681884766e+00	-8.413175589309038747e-05
3.398923158645629883e+00	3.154107285945977307e-05
3.410883426666259766e+00	3.779476901589426028e-06
3.422720432281494141e+00	4.542163483585749808e-05
3.434628963470458984e+00	-7.487829964486651993e-05
3.446935176849365234e+00	3.616761218154205957e-05
3.458718299865722656e+00	1.303293314981329652e-05
3.470861196517944336e+00	2.228667260108400326e-05
3.483060359954833984e+00	-1.935567413521528519e-05
3.495183467864990234e+00	-7.025185472379983634e-05
3.507034063339233398e+00	1.765947247189559319e-05
