# Time(s)	Magnetic_Field(uT)
3.249873399734497070e+00	7.303209846170160267e-05
3.261673688888549805e+00	6.434614454905791434e-05
3.273801565170288086e+00	-1.610543702426378923e-04
3.285659313201904297e+00	1.654448633376510948e-04
3.297554731369018555e+00	1.480903269898453027e-04
3.309646368026733398e+00	-8.019971528023784018e-05
3.321789741516113281e+00	6.714881464003599938e-05
3.333859920501708984e+00	1.249219927303016418e-04
3.345933437347412109e+00	2.955021446603579494e-05
3.358782529830932617e+00	1.971254367350211748e-04
3.370328426361083984e+00	-8.606562762442185885e-05
3.382320404052734375e+00	1.017362869932750545e-04
3.394737243652343750e+00	-8.321084310099767826e-05
3.406549692153930664e+00	9.303296160314846700e-05
3.418839454650878906e+00	2.655645812275755842e-05
3.430719137191772461e+00	6.410294386431166392e-05
3.442962646484375000e+00	-5.149552674866439509e-05
3.454677820205688477e+00	1.189692229987070437e-04
3.466363668441772461e+00	1.305099614347748991e-04
3.478494167327880859e+00	4.669629308405980343e-05
3.490834236145019531e+00	1.246961635230369760e-04
3.502197980880737305e+00	2.778237484000855694e-04
3.513897418975830078e+00	8.131850839226205494e-05
3.526386260986328125e+00	1.390916864825276838e-04
3.538763523101806641e+00	-1.407064134948407549e-05
3.550570964813232422e+00	8.704544891659198719e-05
3.562772989273071289e+00	2.892950009262256904e-04
3.574884891510009766e+00	3.788873882904233938e-05
3.586963891983032227e+00	-3.725634708651065936e-05
3.599696159362792969e+00	2.918541343891706304e-05
3.610894441604614258e+00	8.117953657240798207e-05
3.623316287994384766e+00	2.083013741439689905e-04
3.635537385940551758e+00	-1.998866812611418294e-05
3.647753477096557617e+00	-2.668874733271606315e-06
3.660091400146484375e+00	2.024702047547494827e-04
3.671881675720214844e+00	2.515748004098531027e-04
3.683911323547363281e+00	2.428888464972080185e-04
3.696001768112182617e+00	1.821913979735918570e-04
3.708116292953491211e+00	7.237198231739051801e-05
3.720339298248291016e+00	6.657555588313419307e-05
3.732198953628540039e+00	9.545345918952621519e-05
3.766826391220092773e+00	2.196857692826998602e-04
3.778640985488891602e+00	6.363391397230073413e-05
3.790398359298706055e+00	-1.039760512516478319e-04
3.802321672439575195e+00	4.626200614701337781e-05
3.814554929733276367e+00	2.947439978108435873e-04
3.826679229736328125e+00	-4.045856115957197367e-05
3.838502883911132812e+00	7.799469397682825915e-05
3.850338220596313477e+00	1.531050369374180819e-04
3.861931800842285156e+00	8.084947850025242619e-05
3.873508453369140625e+00	5.771588719567062668e-05
3.885060310363769531e+00	2.773026040756285441e-04
3.896934509277343750e+00	1.559250785058777515e-04
3.909035682678222656e+00	-7.236496376420541849e-05
3.921167612075805664e+00	4.608829137219480756e-05
3.933224439620971680e+00	1.847682388573052492e-04
3.945860147476196289e+00	1.934194498149857547e-04
3.957846879959106445e+00	2.107392432078283233e-04
3.969812154769897461e+00	3.754249379984263973e-04
3.982268333435058594e+00	-1.504864345455563803e-04
3.994243621826171875e+00	-2.047506949560670412e-05
4.006191968917846680e+00	-3.155276102764129190e-06
4.018474578857421875e+00	5.750742946588887364e-05
4.030597209930419922e+00	1.701816296455143729e-04
4.042612075805664062e+00	3.059720496522375121e-04
4.054809808731079102e+00	1.989145781440707103e-05
4.066630125045776367e+00	-6.392221053630800769e-05
4.078768730163574219e+00	-1.192808740281709205e-05
4.090879201889038086e+00	1.036356402551957774e-04
